2023-04-19 22:04:240 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (d5dd99b1e915e33df558f4aaaf32bc0e)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-19 22:04:641 INFO  IthPharma :73 - I click On WhoWeAre
2023-04-19 22:04:292 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (00cdd59fda35b503ceff832f368ab5e0)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-19 22:04:940 INFO  IthPharma :73 - I click On WhoWeAre
2023-04-19 22:04:336 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (f1850762ce0dc92b29aa1e388d41831d)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-19 22:04:137 INFO  IthPharma :73 - I click On WhoWeAre
2023-04-19 22:04:806 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (51033b2406be52a32a0a7b285019566a)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-19 22:04:149 INFO  IthPharma :73 - I click On WhoWeAre
2023-04-19 22:04:804 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (cda2a5378c0b59b86f186172865dc3cc)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-19 22:04:546 INFO  IthPharma :73 - I click On WhoWeAre
2023-04-19 22:04:433 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (bdd499eb78439ad048fb7b3096889dab)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-19 22:04:390 INFO  IthPharma :73 - I click On WhoWeAre
2023-04-19 22:04:332 INFO  IthPharma :80 - I verify Text[[ChromeDriver: chrome on WINDOWS (76b38e5cd6bc2b31ce46c87c2041ca58)] -> xpath: //strong[contains(text(),'COVID 19')]]
2023-04-19 22:04:472 INFO  IthPharma :92 - I enter UserName Proxy element for: DefaultElementLocator 'By.xpath: /html/body/main/div/div/div/form/div[2]/div/div/input'
2023-04-19 22:04:138 INFO  IthPharma :73 - I click On WhoWeAre
